Location Type,Item ID,Original Text,Entity Type,Start Offset,End Offset,Review (TP/FP/FN)
Body Paragraph,194,The Net Proceeds,ORG,0,16,TP
Body Paragraph,197,₹,ORG,1,2,TP
Body Paragraph,198,the Offer Price,ORG,44,59,TP
Body Paragraph,198,Prospectus,ORG,79,89,TP
Body Paragraph,200,our Promoter Group,ORG,81,99,TP
Body Paragraph,200,the Promoter Selling Shareholders,ORG,101,134,TP
Body Paragraph,200,our Promoter Group,ORG,236,254,TP
Body Paragraph,201,Offer,ORG,115,120,TP
Body Paragraph,201,the Basis of Allotment,ORG,141,163,TP
Body Paragraph,204,our Promoter Group,ORG,77,95,TP
Body Paragraph,205,our Promoter Group,ORG,172,190,TP
Body Paragraph,205,Equity Share,ORG,248,260,TP
Body Paragraph,209,Offer,ORG,30,35,TP
Body Paragraph,209,the Basis of Allotment,ORG,56,78,TP
Body Paragraph,213,three-month,DATE_TIME,106,117,TP
Body Paragraph,213,"June 30, 2025",DATE,131,144,TP
Body Paragraph,213,Fiscals 2025,LOCATION,149,161,TP
Body Paragraph,213,2024,DATE_TIME,163,167,TP
Body Paragraph,213,2023,DATE_TIME,172,176,TP
Body Paragraph,213,the Restated Financial Statements,ORG,194,227,TP
Body Paragraph,218,"June 30, 2025",DATE,33,46,TP
Body Paragraph,219,Company,ORG,83,90,TP
Body Paragraph,219,capital reserve,ORG,427,442,TP
Body Paragraph,222,EPS,ORG,9,12,TP
Body Paragraph,222,Indian Accounting Standard,ORG,65,91,TP
Body Paragraph,222,The Split of Equity Shares,ORG,117,143,TP
Body Paragraph,222,Ind AS 33,ORG,305,314,TP
Body Paragraph,223,the Company / Net Worth,ORG,86,109,TP
Body Paragraph,223,the year,DATE_TIME,174,182,TP
Body Paragraph,223,Split of Equity Shares,ORG,199,221,TP
Body Paragraph,223,Bonus Issue,ORG,226,237,TP
Body Paragraph,226,the Restated Financial Statements,ORG,80,113,TP
Body Paragraph,227,the Statutory Auditors,ORG,40,62,TP
Body Paragraph,227,the Restated Financial Statements,ORG,133,166,TP
Body Paragraph,229,Senior Management,ORG,114,131,TP
Body Paragraph,229,the SEBI ICDR Regulations,ORG,151,176,TP
Body Paragraph,231,the Materiality Policy,ORG,33,55,TP
Body Paragraph,233,Kushal Subbayya Hegde,ORG,44,65,TP
Body Paragraph,233,Rajesh Kushal Hegde,PERSON,67,86,TP
Body Paragraph,233,Rohit Kushal Hegde,PERSON,88,106,TP
Body Paragraph,233,Rakhi Girija Shetty,PERSON,111,130,TP
Body Paragraph,234,Sandesh Bhagwat,PERSON,35,50,TP
Body Paragraph,234,Amod Joshi,PERSON,57,67,TP
Body Paragraph,234,CFO,ORG,69,72,TP
Body Paragraph,234,Sarthak Malvadkar,PERSON,74,91,TP
Body Paragraph,234,CS,ORG,93,95,TP
Body Paragraph,234,Ganesh Prasad,PERSON,124,137,TP
Body Paragraph,235,Group Companies,ORG,106,121,TP
Body Paragraph,243,three-month,DATE_TIME,73,84,TP
Body Paragraph,243,"June 30, 2025",DATE,98,111,TP
Body Paragraph,243,the Restated Financial Statements,ORG,129,162,TP
Body Paragraph,248,Ind,ORG,112,115,TP
Body Paragraph,248,three-month,DATE_TIME,180,191,TP
Body Paragraph,248,"June 30, 2025",DATE,205,218,TP
Body Paragraph,248,Fiscals 2025,LOCATION,223,235,TP
Body Paragraph,248,2024,DATE_TIME,237,241,TP
Body Paragraph,248,2023,DATE_TIME,246,250,TP
Body Paragraph,248,the Restated Financial Statements,ORG,268,301,TP
Body Paragraph,253,Key Managerial Personnel,ORG,185,209,TP
Body Paragraph,255,Related Party Transaction,ORG,67,92,TP
Body Paragraph,257,our Promoter Group,ORG,76,94,TP
Body Paragraph,257,2013,DATE_TIME,163,167,TP
Body Paragraph,257,a period of six months,DATE_TIME,326,348,TP
Body Paragraph,257,this Red Herring Prospectus,ORG,419,446,TP
Body Paragraph,258,the Promoter Selling Shareholders,ORG,91,124,TP
Body Paragraph,258,the last one year,DATE_TIME,128,145,TP
Body Paragraph,259,the Promoter Selling Shareholders,ORG,96,129,TP
Body Paragraph,259,the last one year,DATE_TIME,133,150,TP
Body Paragraph,264,Board,ORG,82,87,TP
Body Paragraph,264,Company,ORG,112,119,TP
Body Paragraph,264,"February 10, 2025",DATE,126,143,TP
Body Paragraph,264,"February 11, 2025",DATE,148,165,TP
Body Paragraph,265,"February 11, 2025",DATE,128,145,TP
Body Paragraph,265,Company,ORG,178,185,TP
Body Paragraph,265,"February 21, 2025",DATE,244,261,TP
Body Paragraph,265,Kirtane & Pandit LLP,ORG,283,303,TP
Body Paragraph,265,Chartered Accountants,ORG,305,326,TP
Body Paragraph,265,"December 10, 2025",DATE,386,403,TP
Body Paragraph,266,last one year,DATE_TIME,65,78,TP
Body Paragraph,266,18 months,DATE_TIME,80,89,TP
Body Paragraph,266,three years,DATE_TIME,94,105,TP
Body Paragraph,267,the last one year,DATE_TIME,61,78,TP
Body Paragraph,267,eighteen months and,DATE_TIME,80,99,TP
Body Paragraph,267,three years,DATE_TIME,100,111,TP
Body Paragraph,269,last 3 years,DATE_TIME,0,12,TP
Body Paragraph,270,the Promoter Selling Shareholders,ORG,66,99,TP
Body Paragraph,271,the Promoter Selling Shareholders,ORG,70,103,TP
Body Paragraph,275,Kirtane & Pandit LLP,ORG,173,193,TP
Body Paragraph,275,Chartered Accountants,ORG,195,216,TP
Body Paragraph,275,"December 10, 2025",DATE,276,293,TP
Body Paragraph,276,the Promoter Group,ORG,105,123,TP
Body Paragraph,276,the three years preceding the date of this,DATE_TIME,240,282,TP
Body Paragraph,277,our Promoter Group,ORG,61,79,TP
Body Paragraph,277,the three years,DATE_TIME,213,228,TP
Body Paragraph,282,Secondary Transfer of Equity,ORG,0,28,TP
Body Paragraph,284,the last one year,DATE_TIME,75,92,TP
Body Paragraph,287,the last one year,DATE_TIME,43,60,TP
Body Paragraph,287,Board,ORG,101,106,TP
Body Paragraph,287,"February 10, 2025",DATE,113,130,TP
Body Paragraph,287,"February 11, 2025",DATE,181,198,TP
Body Paragraph,288,SEBI,ORG,155,159,TP
Body Paragraph,288,the SEBI ICDR Regulations,ORG,224,249,TP
Body Paragraph,292,Offer,ORG,1514,1519,TP
Body Paragraph,294,India,LOCATION,90,95,TP
Body Paragraph,299,year,DATE_TIME,0,4,TP
Body Paragraph,299,March 31 of each year,DATE_TIME,13,34,TP
Body Paragraph,300,2025,DATE_TIME,0,4,TP
Body Paragraph,300,2024,DATE_TIME,6,10,TP
Body Paragraph,300,2023,DATE_TIME,16,20,TP
Body Paragraph,300,years ended March 31,DATE_TIME,36,56,TP
Body Paragraph,300,2025,DATE_TIME,58,62,TP
Body Paragraph,300,"March 31, 2024",DATE,64,78,TP
Body Paragraph,300,"March 31, 2023",DATE,83,97,TP
Body Paragraph,300,12-month,DATE_TIME,110,118,TP
Body Paragraph,300,March 31,DATE_TIME,132,140,TP
Body Paragraph,300,the relevant year,DATE_TIME,144,161,TP
Body Paragraph,301,the Restated Financial Statements,ORG,152,185,TP
Body Paragraph,301,India,LOCATION,405,410,TP
Body Paragraph,303,India,LOCATION,60,65,TP
Body Paragraph,303,"November 26, 2025",DATE,73,90,TP
Body Paragraph,303,Care Analytics and Advisory Private Limited,ORG,131,174,TP
Body Paragraph,303,"December 2, 2024",DATE_OF_BIRTH,214,230,TP
Body Paragraph,303,particular year,DATE_TIME,631,646,TP
Body Paragraph,303,the relevant calendar year,DATE_TIME,678,704,TP
Body Paragraph,306,Fiscals,PERSON,217,224,TP
Body Paragraph,312,Fiscals,PERSON,98,105,TP
Body Paragraph,313,Fiscals,PERSON,85,92,TP
Body Paragraph,313,Fiscals,ORG,159,166,TP
Body Paragraph,314,Al-Ahleia Switchgear Co.,ORG,35,59,TP
Body Paragraph,314,Bharat Bijlee Limited,ORG,61,82,TP
Body Paragraph,314,CG Power and Industrial Solutions Limited,ORG,84,125,TP
Body Paragraph,314,Emirates Transformer & Switchgear Limited,ORG,127,168,TP
Body Paragraph,314,Georgia Transformer Corporation,ORG,170,201,TP
Body Paragraph,314,Nidec Industrial Automation India Private Limited,ORG,203,252,TP
Body Paragraph,314,Transformers & Rectifiers,ORG,254,279,TP
Body Paragraph,314,India) Limited,ORG,281,295,TP
Body Paragraph,314,Virginia Transformer Corporation,ORG,301,333,TP
Body Paragraph,314,the Offer Documents,ORG,561,580,TP
Body Paragraph,317,Company,ORG,42,49,TP
Body Paragraph,323,14,DATE_TIME,83,85,TP
Body Paragraph,323,17,DATE_TIME,87,89,TP
Body Paragraph,323,three-month,DATE_TIME,234,245,TP
Body Paragraph,323,"June 30, 2025",DATE,259,272,TP
Body Paragraph,323,Fiscals 2025,LOCATION,278,290,TP
Body Paragraph,323,2024,DATE_TIME,292,296,TP
Body Paragraph,323,2023,DATE_TIME,301,305,TP
Body Paragraph,323,the period/ financial year,DATE_TIME,396,422,TP
Body Paragraph,324,Fiscals,PERSON,83,90,TP
Body Paragraph,326,Fiscals,PERSON,8,15,TP
Body Paragraph,327,Ahlstrom Sweden AB,ORG,35,53,TP
Body Paragraph,327,Cindus Corporation,ORG,55,73,TP
Body Paragraph,327,Elantas Beck India Limited,ORG,75,101,TP
Body Paragraph,327,Hindalco Industries Limited,ORG,103,130,TP
Body Paragraph,327,Polycom Associates,ORG,132,150,TP
Body Paragraph,327,Savli Copper Products Private Limited,ORG,152,189,TP
Body Paragraph,327,Union Copper Rod LLC,ORG,191,211,TP
Body Paragraph,327,Vedanta Limited Sterlite Copper,ORG,217,248,TP
Body Paragraph,327,the Offer Documents,ORG,394,413,TP
Body Paragraph,328,three-month,DATE_TIME,975,986,TP
Body Paragraph,328,"June 30, 2025",DATE,1000,1013,TP
Body Paragraph,328,2024,DATE_TIME,1037,1041,TP
Body Paragraph,328,2023,DATE_TIME,1046,1050,TP
Body Paragraph,332,three-month,DATE_TIME,1420,1431,TP
Body Paragraph,332,"June 30, 2025",DATE,1445,1458,TP
Body Paragraph,332,Fiscals 2025,LOCATION,1464,1476,TP
Body Paragraph,332,2024,DATE_TIME,1478,1482,TP
Body Paragraph,332,2023,DATE_TIME,1487,1491,TP
Body Paragraph,333,Fiscals,PERSON,760,767,TP
Body Paragraph,334,three-month,DATE_TIME,48,59,TP
Body Paragraph,334,"June 30, 2025",DATE,73,86,TP
Body Paragraph,334,Fiscals 2025,LOCATION,92,104,TP
Body Paragraph,334,2024,DATE_TIME,106,110,TP
Body Paragraph,334,2023,DATE_TIME,115,119,TP
Body Paragraph,334,London Metal Exchange,ORG,508,529,TP
Body Paragraph,335,Fiscals,PERSON,293,300,TP
Body Paragraph,342,India,LOCATION,308,313,TP
Body Paragraph,342,Fiscals,PERSON,385,392,TP
Body Paragraph,343,Gujarat,LOCATION,56,63,TP
Body Paragraph,343,UAE,LOCATION,71,74,TP
Body Paragraph,343,three-month,DATE_TIME,83,94,TP
Body Paragraph,343,"June 30, 2025",DATE,108,121,TP
Body Paragraph,343,Fiscals 2025,LOCATION,127,139,TP
Body Paragraph,343,2024,DATE_TIME,141,145,TP
Body Paragraph,345,Fiscals,ORG,22,29,TP
Body Paragraph,347,three-month,DATE_TIME,76,87,TP
Body Paragraph,347,"June 30, 2025",DATE,101,114,TP
Body Paragraph,347,Fiscals 2025,LOCATION,118,130,TP
Body Paragraph,347,2024,DATE_TIME,132,136,TP
Body Paragraph,347,2023,DATE_TIME,141,145,TP
Body Paragraph,348,the Power Sector,ORG,39,55,TP
Body Paragraph,348,Fiscals,PERSON,231,238,TP
Body Paragraph,352,EV,ORG,42,44,TP
Body Paragraph,354,the Power Sector,ORG,35,51,TP
Body Paragraph,354,the Power Sector,ORG,494,510,TP
Body Paragraph,354,three-month,DATE_TIME,518,529,TP
Body Paragraph,354,"June 30, 2025",DATE,543,556,TP
Body Paragraph,354,2024,DATE_TIME,580,584,TP
Body Paragraph,354,2023,DATE_TIME,589,593,TP
Body Paragraph,354,Power Sector,ORG,806,818,TP
Body Paragraph,356,three-month,DATE_TIME,100,111,TP
Body Paragraph,356,"June 30, 2025",DATE,125,138,TP
Body Paragraph,356,2024,DATE_TIME,162,166,TP
Body Paragraph,359,Pune,LOCATION,0,4,TP
Body Paragraph,359,Maharashtra,LOCATION,8,19,TP
Body Paragraph,359,the Proposed Capital Expenditure,ORG,181,213,TP
Body Paragraph,359,the Net Proceeds,ORG,707,723,TP
Body Paragraph,359,the Proposed Capital Expenditure,ORG,1015,1047,TP
Body Paragraph,362,Company,ORG,10,17,TP
Body Paragraph,363,the Proposed Capital Expenditure,ORG,264,296,TP
Body Paragraph,363,the Net Proceeds,ORG,966,982,TP
Body Paragraph,364,India,LOCATION,278,283,TP
Body Paragraph,364,three-month,DATE_TIME,2028,2039,TP
Body Paragraph,364,"June 30, 2025",DATE,2053,2066,TP
Body Paragraph,364,Fiscals 2025,LOCATION,2071,2083,TP
Body Paragraph,364,2024,DATE_TIME,2085,2089,TP
Body Paragraph,364,2023,DATE_TIME,2095,2099,TP
Body Paragraph,365,the KSH International Chakan Internal Kamgar Sangathna,ORG,329,383,TP
Body Paragraph,365,three-month,DATE_TIME,1922,1933,TP
Body Paragraph,365,"June 30, 2025",DATE,1947,1960,TP
Body Paragraph,365,Fiscals 2025,LOCATION,1964,1976,TP
Body Paragraph,365,2024,DATE_TIME,1978,1982,TP
Body Paragraph,365,2023,DATE_TIME,1987,1991,TP
Body Paragraph,369,Supa,ORG,26,30,TP
Body Paragraph,369,Ahilyanagar,PERSON,32,43,TP
Body Paragraph,369,Ahmednagar,PERSON,54,64,TP
Body Paragraph,369,Maharashtra,ORG,69,80,TP
Body Paragraph,369,"March 31, 2025",DATE,134,148,TP
Body Paragraph,369,Supa Facility,PERSON,204,217,TP
Body Paragraph,369,September 2025,DATE_TIME,251,265,TP
Body Paragraph,369,MT,LOCATION,336,338,TP
Body Paragraph,369,MT,LOCATION,349,351,TP
Body Paragraph,369,Supa,ORG,381,385,TP
Body Paragraph,369,Ahilyanagar,LOCATION,387,398,TP
Body Paragraph,369,our Supa Facility,LOCATION,755,772,TP
Body Paragraph,370,the Net Proceeds,ORG,49,65,TP
Body Paragraph,371,our Supa Facility,LOCATION,13,30,TP
Body Paragraph,371,Supa,PERSON,218,222,TP
Body Paragraph,372,our Supa Facility,LOCATION,33,50,TP
Body Paragraph,372,Chakan,LOCATION,119,125,TP
Body Paragraph,372,Pune,LOCATION,127,131,TP
Body Paragraph,372,Maharashtra,LOCATION,135,146,TP
Body Paragraph,372,the Supa Facility,ORG,354,371,TP
Body Paragraph,373,India,LOCATION,265,270,TP
Body Paragraph,373,India,LOCATION,603,608,TP
Body Paragraph,374,three-month,DATE_TIME,151,162,TP
Body Paragraph,374,"June 30, 2025",DATE,176,189,TP
Body Paragraph,374,Fiscals 2025,LOCATION,194,206,TP
Body Paragraph,374,2024,DATE_TIME,208,212,TP
Body Paragraph,374,2023,DATE_TIME,217,221,TP
Body Paragraph,375,empaneled PICC,ORG,31,45,TP
Body Paragraph,375,CTC,ORG,50,53,TP
Body Paragraph,375,three-month,DATE_TIME,565,576,TP
Body Paragraph,375,"June 30, 2025",DATE,590,603,TP
Body Paragraph,375,Fiscals 2025,LOCATION,608,620,TP
Body Paragraph,375,2024,DATE_TIME,622,626,TP
Body Paragraph,375,2023,DATE_TIME,631,635,TP
Body Paragraph,379,"Business - Quality Control, Services",ORG,93,129,TP
Body Paragraph,379,three-month,DATE_TIME,867,878,TP
Body Paragraph,379,"June 30, 2025",DATE,892,905,TP
Body Paragraph,379,Fiscals 2025,LOCATION,910,922,TP
Body Paragraph,379,2024,DATE_TIME,924,928,TP
Body Paragraph,379,2023,DATE_TIME,933,937,TP
Body Paragraph,380,India,LOCATION,71,76,TP
Body Paragraph,380,"June 30, 2025",DATE,84,97,TP
Body Paragraph,380,India,LOCATION,166,171,TP
Body Paragraph,382,"Ministry of Commerce and Industry, Government of India",ORG,743,797,TP
